Rank,Name,Platform,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d,reputation
945,Hord,Ethereum,"$2,257,572",$0.02548,"88,615,986 HORD *","$112,410",-1.13%,-2.09%,-12.78%,sus
948,Sonar,BNB Smart Chain (BEP20),"$2,231,546",$0.0008254,"2,703,464,935 PING *","$24,184",0.35%,11.52%,-14.55%,sus
951,FOAM,Ethereum,"$2,225,637",$0.00703,"316,571,950 FOAM *",$16,-0.11%,1.25%,-5.22%,sus
952,Impossible Finance Launchpad,Ethereum,"$2,218,453",$0.0493,"45,000,000 IDIA *","$13,432",0.00%,0.41%,-14.50%,sus
953,DOGAMÍ,Tezos,"$2,216,615",$0.01067,"207,808,633 DOGA *","$11,681",-0.01%,-0.97%,-1.49%,sus
954,Valencia CF Fan Token,Chiliz,"$2,209,088",$0.87,"2,539,114 VCF *","$950,500",-0.16%,0.60%,-5.83%,sus
955,BSCStation,BNB Smart Chain (BEP20),"$2,204,293",$0.01422,"154,968,120 BSCS *","$471,514",0.33%,-7.60%,-9.22%,sus
956,Isiklar Coin,Ethereum,"$2,193,450",$0.4142,"5,295,305 ISIKC *","$48,104",-4.19%,-16.68%,-18.08%,sus
957,Construct,Ethereum,"$2,183,819",$0.3125,"6,988,327 STANDARD *","$68,607",-0.03%,1.67%,-1.42%,sus
958,OneArt,Ethereum,"$2,183,398",$0.01522,"143,416,035 1ART *","$16,509",0.51%,-0.85%,-23.55%,sus
959,GAMB,Ethereum,"$2,183,413",$0.0004367,"4,999,999,990 GMB *","$4,218",0.30%,-0.91%,14.88%,sus
961,Digital Fitness,Polygon,"$2,182,123",$0.07888,"27,662,988 DEFIT *","$18,457",-0.25%,-4.14%,-7.95%,sus
962,Venus DOT,,"$2,178,352",$0.1308,"16,649,243 vDOT *","$672,018",-0.46%,-0.35%,-11.82%,sus
963,EpiK Protocol,Ethereum,"$2,175,889",$0.01673,"130,057,090 EPK *","$116,702",0.03%,0.64%,-4.67%,sus
964,VestChain,Ethereum,"$2,167,323",$0.0005493,"3,945,951,381 VEST *",$?,-0.11%,-0.73%,-7.07%,sus
965,ZIMBOCASH,Tron10,"$2,147,349",$0.00135,"1,590,616,010 ZASH *",$258,-0.74%,-0.78%,-14.04%,sus
967,Heroes Chained,Avalanche C-Chain,"$2,138,561",$0.05494,"38,924,974 HEC *","$144,898",0.09%,-0.49%,-7.18%,sus
968,TOP,Ethereum,"$2,125,759",$0.0003856,"5,512,414,943 TOP *","$106,899",0.22%,-5.97%,-10.49%,sus
969,Blockchain Brawlers,Ethereum,"$2,111,142",$0.002114,"998,852,887 BRWL *","$467,806",-0.48%,-2.40%,-10.69%,sus
970,Defina Finance,BNB Smart Chain (BEP20),"$2,109,439",$0.0311,"67,819,855 FINA *","$461,315",-0.01%,-3.89%,-11.56%,sus
971,GPEX,Ethereum,"$2,078,827",$0.267,"7,785,806 GPX *","$1,332",0.00%,-4.60%,-8.88%,sus
972,Rari Governance Token,Ethereum,"$2,077,327",$0.1666,"12,472,026 RGT *",$809,-0.23%,-5.79%,-24.46%,sus
973,Corite,Ethereum,"$2,071,664",$0.01695,"122,199,592 CO *","$121,581",1.39%,1.01%,-4.12%,sus
974,Flamengo Fan Token,Chiliz,"$2,052,244",$0.4478,"4,582,711 MENGO *","$155,695",-0.36%,-1.40%,-11.41%,sus
975,MetamonkeyAi,Ethereum,"$2,041,702",$0.0003347,"6,099,376,989 MMAI *","$199,145",-0.23%,-0.39%,-14.75%,sus
976,Aurora,Ethereum,"$2,037,913",$0.0002043,"9,975,060,788 AOA *","$54,662",-0.52%,5.14%,-8.29%,sus
977,Cheems Inu (new),Ethereum,"$2,026,395",$0.000354,"5,723,672,214 CINU *","$53,667",-0.14%,-9.62%,-33.83%,sus
978,Safe Haven,VeChain,"$2,027,202",$0.0006744,"3,005,855,396 SHA *","$514,434",0.13%,-3.99%,-2.19%,sus
979,Databroker,Ethereum,"$2,020,602",$0.02398,"84,261,289 DTX *",$1,0.00%,-0.05%,101.46%,sus
982,Football World Community,BNB Smart Chain (BEP20),"$1,994,029",$0.0...04719,"42,259,695,518,342,000 FWC *","$752,871",-0.05%,-3.82%,2.07%,sus
984,Hyve,Ethereum,"$1,984,131",$0.07737,"25,646,075 HYVE *","$230,778",-0.63%,-3.74%,26.72%,sus
985,Green Satoshi Token (ETH),Ethereum,"$1,974,184",$0.04843,"40,765,657 GST *",$?,1.91%,1.15%,2.10%,sus
986,MetagamZ,Avalanche C-Chain,"$1,973,494",$0.0001973,"10,000,000,000 METAG *","$10,215",-1.52%,1.88%,-19.56%,sus
988,SparkPoint,Ethereum,"$1,940,531",$0.0002192,"8,853,724,090 SRK *","$115,220",-0.22%,-4.58%,-14.51%,sus
989,Shattered Legion,BNB Smart Chain (BEP20),"$1,913,919",$0.02815,"68,000,000 SLG *","$667,084",-0.18%,-0.72%,-8.24%,sus
990,Voxel X Network,Ethereum,"$1,910,014",$0.008667,"220,380,548 VXL *","$121,798",-0.23%,-7.87%,-14.70%,sus
991,Swerve,Ethereum,"$1,901,294",$0.1088,"17,480,530 SWRV *","$119,800",-0.03%,-1.70%,-5.95%,sus
992,Kryptomon,BNB Smart Chain (BEP20),"$1,894,191",$0.009978,"189,843,488 KMON *","$82,938",-0.79%,-2.73%,-5.09%,sus
993,PAID Network,Ethereum,"$1,871,613",$0.02253,"83,070,175 PAID *","$19,941",-3.10%,2.52%,-2.12%,sus
994,Populous,Ethereum,"$1,867,723",$0.03507,"53,252,246 PPT *","$190,884",-0.06%,-14.22%,-29.10%,sus
995,NFT Art Finance,BNB Smart Chain (BEP20),"$1,861,697",$0.0...07364,"25,282,174,668,987,600 NFTART *","$102,695",1.83%,-10.27%,-16.53%,sus
996,Xeno Token,Ethereum,"$1,853,828",$0.001566,"1,183,558,942 XNO *","$5,499,078",0.83%,1.68%,-59.80%,sus
997,SpiritSwap,Fantom,"$1,846,228",$0.005007,"368,726,122 SPIRIT *","$76,379",0.12%,-2.22%,-30.52%,sus
998,Ojamu,Ethereum,"$1,847,745",$0.01936,"95,441,017 OJA *","$3,800",1.26%,3.67%,-20.37%,sus
999,Polychain Monsters,Ethereum,"$1,844,645",$0.5409,"3,410,185 PMON *","$187,917",0.36%,4.17%,-6.44%,sus
1000,ALLY,Ethereum,"$1,840,475",$0.0008002,"2,300,000,000 ALY *","$12,398",0.43%,-7.50%,-14.09%,sus
